date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-03-21,72.0051,73.3728,71.7626,72.7908,15418459,15418459,1.0185,1.419,72.694,"Mar 21, 18",-0.11263088215394623
2018-03-22,72.1894,72.461,71.1902,71.297,17737019,17737019,-1.4938,-2.052,71.7855,"Mar 22, 18",-0.13084131517897743
2018-03-23,71.5977,71.9857,70.4918,70.7052,20157333,20157333,-0.591716,-0.83,71.2947,"Mar 23, 18",-0.13805575771761264
2018-03-26,71.4425,71.9275,70.5741,71.782,15032698,15032698,1.0767,1.523,71.4086,"Mar 26, 18",-0.1249288369240972
2018-03-27,71.782,72.65,71.0787,71.491,15821908,15821908,-0.291008,-0.405,71.8672,"Mar 27, 18",-0.12847632387702532
2018-03-28,71.5298,71.7917,70.5985,70.6276,18163875,18163875,-0.863324,-1.208,71.1159,"Mar 28, 18",-0.13900175423839353
2018-03-29,71.132,72.6453,71.0641,72.3737,14882885,14882885,1.746,2.472,72.1692,"Mar 29, 18",-0.11771561345314328
2018-04-02,72.0439,72.17,69.9923,71.0253,17891083,17891083,-1.3483,-1.863,70.7719,"Apr 2, 18",-0.13415352206939174
2018-04-03,71.2485,72.8878,70.9089,72.7714,15999151,15999151,1.746,2.458,72.0174,"Apr 3, 18",-0.11286738128414149
2018-04-04,71.8305,72.8102,71.2387,72.6259,13122170,13122170,-0.145504,-0.2,72.1042,"Apr 4, 18",-0.11464112476060555
2018-04-05,72.8102,74.0324,72.7714,73.7414,14199993,14199993,1.1155,1.536,73.6582,"Apr 5, 18",-0.10104242477438104
2018-04-06,73.3728,73.8384,71.9905,72.6259,14299567,14299567,-1.1155,-1.513,72.8538,"Apr 6, 18",-0.11464112476060555
2018-04-09,72.9654,73.5183,72.558,72.6259,11103111,11103111,0,0,73.0055,"Apr 9, 18",-0.11464112476060555
2018-04-10,73.7996,75.439,73.7802,74.7599,19292201,19292201,2.1341,2.938,74.8854,"Apr 10, 18",-0.08862622043913251
2018-04-11,74.7987,75.7009,74.4495,75.1092,13733954,13733954,0.349209,0.467,75.0685,"Apr 11, 18",-0.08436801702793734
2018-04-12,75.5263,75.793,74.6969,74.9055,13270354,13270354,-0.203705,-0.271,75.0893,"Apr 12, 18",-0.086851257894987
2018-04-13,75.4681,75.8464,75.2741,75.5069,10924966,10924966,0.601416,0.803,75.5434,"Apr 13, 18",-0.07951978485893554
2018-04-16,75.7785,76.7145,75.3808,76.1859,10743642,10743642,0.67902,0.899,76.1948,"Apr 16, 18",-0.07124231530210319
2018-04-17,76.1859,76.3993,75.7009,75.9822,10478093,10478093,-0.203706,-0.267,75.9939,"Apr 17, 18",-0.07372555616915286
2018-04-18,76.6709,77.3693,76.5739,76.8455,12061415,12061415,0.863323,1.136,76.9313,"Apr 18, 18",-0.0632013448754661
2018-04-19,76.9425,77.4275,76.4478,77.0395,11291467,11291467,0.194006,0.252,76.9024,"Apr 19, 18",-0.060836353573513975
2018-04-20,76.9425,77.0201,75.987,76.6321,12072220,12072220,-0.407411,-0.529,76.4414,"Apr 20, 18",-0.0658028353076135
2018-04-23,76.5545,77.2141,76.3896,77.185,11729830,11729830,0.552915,0.722,76.8176,"Apr 23, 18",-0.059062610097049925
2018-04-24,77.4081,77.5342,75.633,76.0016,14101979,14101979,-1.1834,-1.533,76.6043,"Apr 24, 18",-0.07348905703895776
2018-04-25,75.8561,77.2335,75.1625,77.1171,13865599,13865599,1.1155,1.468,76.4401,"Apr 25, 18",-0.05989035705273327
2018-04-26,77.2141,78.4751,77.1462,78.4363,14554442,14554442,1.3192,1.711,77.8933,"Apr 26, 18",-0.04380841619945892
2018-04-27,74.6435,76.2926,74.1876,75.4584,16346833,16346833,-2.978,-3.797,75.5811,"Apr 27, 18",-0.08011103268442361
2018-04-30,75.5748,76.2053,75.4099,75.4196,15028835,15028835,-0.0388,-0.051,75.6873,"Apr 30, 18",-0.08058403094481396
2018-05-01,74.9443,74.9443,73.7026,74.6435,16231035,16231035,-0.776022,-1.029,74.3053,"May 1, 18",-0.09004521522030376
2018-05-02,74.1585,74.9151,74.013,74.498,13883683,13883683,-0.145504,-0.195,74.4946,"May 2, 18",-0.0918189586967678
2018-05-03,74.1003,74.3089,73.1437,74.2458,12243149,12243149,-0.252206,-0.339,73.8964,"May 3, 18",-0.09489344738930555
2018-05-04,73.8481,74.9055,73.6638,74.595,9887192,9887192,0.349208,0.47,74.4484,"May 4, 18",-0.09063646304579183
2018-05-07,75.4099,76.7097,75.0801,75.4099,15071534,15071534,0.814823,1.092,75.9787,"May 7, 18",-0.08070228050991168
2018-05-08,75.4681,75.8173,74.0809,75.7494,17430440,17430440,0.33951,0.45,75.0387,"May 8, 18",-0.07656354573149551
2018-05-09,76.6127,77.8349,76.5836,77.5342,17142097,17142097,1.7848,2.356,77.4165,"May 9, 18",-0.0548056257535362
2018-05-10,78.2229,79.3385,78.0871,79.2706,17710327,17710327,1.7363,2.239,78.8092,"May 10, 18",-0.03363773453338351
2018-05-11,79.5449,80.319,79.2803,79.6429,14751042,14751042,0.372324,0.47,79.7784,"May 11, 18",-0.0290991455554621
2018-05-14,80.0544,80.6651,79.9662,80.1818,11852098,11852098,0.538923,0.677,80.2414,"May 14, 18",-0.022529589820297263
2018-05-15,80.2014,80.3778,79.7605,80.1426,12595736,12595736,-0.039194,-0.049,80.0507,"May 15, 18",-0.02300746435141328
2018-05-16,80.1132,80.3925,79.5351,80.368,9569958,9569958,0.225367,0.281,80.111,"May 16, 18",-0.020259685797495826
2018-05-17,80.5444,80.6228,79.7997,80.2308,11224123,11224123,-0.13718,-0.171,80.2205,"May 17, 18",-0.021932246656402064
2018-05-18,79.9075,80.1524,79.6233,79.6625,10030931,10030931,-0.568319,-0.708,79.8082,"May 18, 18",-0.028860208289904092
2018-05-21,80.0838,80.6913,79.8781,80.6228,8822364,8822364,0.960262,1.205,80.4026,"May 21, 18",-0.017153501345241184
2018-05-22,80.7795,80.9853,79.7115,79.9956,10753428,10753428,-0.62711,-0.778,80.331,"May 22, 18",-0.024799493843098697
2018-05-23,79.3195,80.5738,78.9472,80.4954,15140896,15140896,0.499729,0.625,79.9771,"May 23, 18",-0.01870659357136842
2018-05-24,79.7115,79.7213,78.3397,78.6532,13360454,13360454,-1.8421,-2.288,78.8035,"May 24, 18",-0.04116425839846202
2018-05-25,77.6832,77.7322,76.5171,77.1247,14561988,14561988,-1.5286,-1.943,76.964,"May 25, 18",-0.05979770790894532
2018-05-29,76.5759,77.1443,75.9684,76.8405,14644813,14644813,-0.28416,-0.368,76.557,"May 29, 18",-0.06326229825953697
2018-05-30,77.6538,80.0152,77.6244,79.8585,16627467,16627467,3.018,3.928,79.3671,"May 30, 18",-0.026470835634323477
2018-05-31,79.1824,79.9075,79.0648,79.6037,15803095,15803095,-0.254764,-0.319,79.5867,"May 31, 18",-0.02957702008657812
2018-06-01,80.221,80.6913,79.9075,80.1818,9906117,9906117,0.578117,0.726,80.263,"Jun 1, 18",-0.022529589820297263
2018-06-04,80.3974,80.8677,79.1775,79.3391,10954709,10954709,-0.842679,-1.051,79.6921,"Jun 4, 18",-0.032802673171611764
2018-06-05,78.9668,80.0054,78.7904,79.055,12059328,12059328,-0.284158,-0.358,79.2102,"Jun 5, 18",-0.03626604445452196
2018-06-06,79.8389,80.4366,79.2412,80.4072,11603278,11603278,1.3522,1.71,79.9518,"Jun 6, 18",-0.019781811266379633
2018-06-07,81.0637,81.6124,80.8971,81.2107,13502457,13502457,0.803484,0.999,81.2629,"Jun 7, 18",-0.00998660244618115
2018-06-08,81.436,81.975,80.8383,81.9162,14350376,14350376,0.705499,0.869,81.6275,"Jun 8, 18",-0.0013860799537728848
2018-06-11,82.0337,82.1023,81.2597,81.4262,10831599,10831599,-0.48993,-0.598,81.6025,"Jun 11, 18",-0.007359511592724159
2018-06-12,81.436,82.0631,80.6619,80.7599,12351787,12351787,-0.666304,-0.818,81.1377,"Jun 12, 18",-0.015482159554016231
